"PT: Action Figure","Figura de acción"
"PT: Air Refresher","Ambientador"
"PT: Alarm Clock","Despertador"
"PT: Apron","Delantal"
"PT: Backpack","Mochila"
"PT: Backpack","Mochila"
"PT: Backpatch","Parche Trasero"
"PT: Bag","Bolsa"
"PT: Bag","Bolsa"
"PT: Ballerinas","Bailarinas"
"PT: Bandana","Bandana"
"PT: Bangle","Brazalete"
"PT: Bathrobe","Albornoz"
"PT: Beanie","Beanie"
"PT: Bearings","Rodamientos"
"PT: Bed","Cama"
"PT: Beer Glass","Jarra de cerveza"
"PT: Beer Mug","Jarra de cerveza"
"PT: Belt Buckle","Hebilla"
"PT: Belt Pack","Belt Pack"
"PT: Belt","Cinturón"
"PT: Bikini Bottom","Parte de abajo de bikini"
"PT: Bikini","Bikini"
"PT: Blanket","Manta"
"PT: Blue Ray","Blue Ray"
"PT: Board Game","Juego de Mesa"
"PT: Board Shorts","Board Shorts"
"PT: Bolts","Tornillo"
"PT: Book","Libro"
"PT: Bottle Holder","Posa Botellas"
"PT: Bottle Opener","Abridor de botella"
"PT: Bottle","Botella"
"PT: Bowl Set","Set de cuencos"
"PT: Bowl","Cuenco"
"PT: Boxershorts","Shorts de boxeo"
"PT: Bracelet Set","Set de Pulseras"
"PT: Bracelet","Pulsera"
"PT: Breakfast Set","Set de desayuno"
"PT: Button","Pin"
"PT: CD","CD"
"PT: CD/DVD","CD/DVD"
"PT: Calendar","Calendario"
"PT: Candle","Vela"
"PT: Canvas","Lienzo"
"PT: Cap","Gorra"
"PT: Card Game","Juego de Cartas"
"PT: Cardigan","Cardigan"
"PT: Cargo Pants","Pantalones Cargo"
"PT: Chair","Silla"
"PT: Chino","Chinos"
"PT: Clock","Reloj"
"PT: Coaster Pack","Coaster Pack"
"PT: Coaster","Posavasos"
"PT: Coat","Abrigo"
"PT: Coin","Moneda"
"PT: College Jacket","Chaqueta estilo universitario"
"PT: Colouring Book","Libro para colorear"
"PT: Cookie Jar","Galletero"
"PT: Craft Tape","Cinta adhesiva"
"PT: Cup Set","Set de tazas"
"PT: Cup","Taza"
"PT: Cushion Cover","Funda de cojín"
"PT: Cycling Shorts","Mallas de ciclismo cortas"
"PT: DVD","DVD"
"PT: Desk Pad","Alfombrilla de mesa"
"PT: Doormat","Felupudo"
"PT: Dream Catcher","Atrapasueños"
"PT: Dress","Vestido"
"PT: Dungarees","Mono"
"PT: Earmuff","Cascos"
"PT: Earplug","Earplug"
"PT: Earrings","Pendientes"
"PT: Egg Cup & Toast Cutter","Moldes"
"PT: Egg Cup","Huevera"
"PT: Eraser","Goma"
"PT: Espresso Mugs","Tazas de Espresso"
"PT: Expander","Dilatador"
"PT: Face Jewel","Joyería facial"
"PT: Fan","Ventilador"
"PT: Figure","Figura"
"PT: Flag","Bandera"
"PT: Flask","Petaca"
"PT: Flesh Tunnel","Flesh Tunnel"
"PT: Foam Hand","Mano de gomaespuma"
"PT: Fridge Magnet","Imán de Nevera"
"PT: Gift Pack","Pack de regalo"
"PT: Gift Set","Set de regalo"
"PT: Girl Beanie","Beanie de chica"
"PT: Girl Belt","Cinturón de chica"
"PT: Girl College Jacket","Chaqueta estilo universitario para chica"
"PT: Girl Hooded College Jacket","Chaqueta estilo universitario con capucha para chica"
"PT: Girl Hoodie","Sudadera para chica"
"PT: Girl Jacket","Chaqueta de chica"
"PT: Girl Jacket","Chaqueta de entretiempo para chica"
"PT: Girl Jeans Jacket","Chaqueta vaquera para chica"
"PT: Girl Jeans","Vaqueros de chica"
"PT: Girl Leather Jacket","Chaqueta de cuero para chica"
"PT: Girl Leggings","Girl Leggings"
"PT: Girl Longsleeve","Manga larga de chica"
"PT: Girl Pants","Pantalones para chica chica"
"PT: Girl Polo","Girl Polo"
"PT: Girl Pullover","Jersey de punto para chica"
"PT: Girl Sandals","Sandalias para chica"
"PT: Girl Shirt","Camisa para chica"
"PT: Girl Shoes","Zapatos para chica"
"PT: Girl Shorts","Shorts para chica"
"PT: Girl Sweater","Suéter de chica"
"PT: Girl Tank","Tank para chica"
"PT: Girl Track Jacket","Chaqueta deportiva para chica"
"PT: Girl V Neck Longsleeve","Manga larga con cuello pico para chica"
"PT: Girl V Neck Pullover","Jersey de punto con cuello pico para chica"
"PT: Girl V Neck Sweater","Suéter de cuello pico para chica"
"PT: Girl Zipper","Chaqueta con cremallera para chica"
"PT: Girly","Camiseta de chica"
"PT: Glass","Vaso"
"PT: Gloves","Guantes"
"PT: Goblet","Copa"
"PT: Gum","Chicle"
"PT: Hair Clip","Pinza de pelo"
"PT: Hanging Decoration","Decoración para colgar"
"PT: Harness","Arnés"
"PT: Headphones","Auriculares"
"PT: Heels","Tacones"
"PT: Hip Bag","Riñonera"
"PT: Hipbag","Riñonera"
"PT: Hooded Cardigan","Cardigan con capucha"
"PT: Hooded College Jacket","Chaqueta estilo universitario con capucha"
"PT: Hooded Girl Shirt","Camisa con capucha para chica"
"PT: Hooded Shirt","Camisa con capucha"
"PT: Hoodie","Sudadera"
"PT: Hotpants","Pantis"
"PT: Jacket","Chaqueta"
"PT: Jar","Jarra"
"PT: Jeans Jacket","Chaqueta vaquera"
"PT: Jeans","Vaqueros"
"PT: Jersey","Jersey"
"PT: Jigsaw Puzzle","Puzzle"
"PT: Jumpsuit","Mono"
"PT: Keychain","Llavero"
"PT: Lamp","Lámpara"
"PT: Lanyard","Llavero"
"PT: Laptop Bag","Funda de portátil"
"PT: Laptop Case","Funda de portátil"
"PT: Leather Jacket","Chaqueta de cuero"
"PT: Leggings","Leggings"
"PT: Long Beanie","Long Beanie"
"PT: Longsleeve","Manga larga"
"PT: Luggage Tag","Etiqueta equipaje"
"PT: Magazine","Magazine"
"PT: Magnet","Imán"
"PT: Mask","Mascarilla"
"PT: Memo Pad","Agenda"
"PT: Mesh Shorts","Mesh Shorts"
"PT: Mirror","Espejo"
"PT: Money Box","Hucha"
"PT: Mousepad","Alfombrilla de ratón"
"PT: Mug","Taza"
"PT: Music Box","Caja de música"
"PT: Necklace","Collar"
"PT: Notebook","Libreta"
"PT: Panties","Panties"
"PT: Pants","Pantalones"
"PT: Patch","Parche"
"PT: Peeptoes","Peeptoes"
"PT: Pen & Pen Topper","Bolígrafo & Cabezal de Bolígrafo"
"PT: Pen Topper","Cabezal de bolígrafo"
"PT: Pen","Bolígrafo"
"PT: Pencil Case","Estuche"
"PT: Pendant","Pendiente"
"PT: Piercing","Piercing"
"PT: Pillow","Almohada"
"PT: Plectra","Púas"
"PT: Plectrum Set","Set de púas"
"PT: Plectrum","Púa"
"PT: Polo","Polo"
"PT: Pool Float","Flotador de Piscina"
"PT: Poster","Póster"
"PT: Pullover","Jersey de punto"
"PT: Ring Stand","Soporte para anillos"
"PT: Ring","Anillo"
"PT: Rug","Alfombrilla de ratón"
"PT: Sandal","Sandalias"
"PT: Scarf","Bufanda"
"PT: Shirt","Camisa"
"PT: Shoes","Zapatos"
"PT: Shorts","Shorts"
"PT: Shot Glass","Vaso de chupito"
"PT: Shot Glasses","Vasos de chupito"
"PT: Shower Curtain","Cortina de ducha"
"PT: Skate Deck","Tabla de skate"
"PT: Skatedeck","Tabla de skate"
"PT: Skirt","Minifalda"
"PT: Sleep Mask","Antifaz para dormir"
"PT: Slipmat","Slipmat"
"PT: Slippers","Zapatillas"
"PT: Snood","Braga"
"PT: Socks","Calcetines"
"PT: Soft Toy","Juguete Blando"
"PT: Sticker Tattoos","Calcamonías"
"PT: Sticker","Pegatina/Sticker"
"PT: Sticky Notes","Post-its"
"PT: Stress Controller","Antiestrés"
"PT: Sunglasses","Gafas de sol"
"PT: Sweat Pants","Chandal"
"PT: Sweater","Suéter"
"PT: Swimsuit","Bañador"
"PT: T-Shirt","Camiseta"
"PT: Tank","Tank"
"PT: Tapestry","Tapete"
"PT: Tea Cup + Saucer","Vaso de Té + Sazonador"
"PT: Terrarium","Terrario"
"PT: Tights","Medias"
"PT: Top","Top"
"PT: Top","Top"
"PT: Torch","Mechero"
"PT: Tote Bag","Bolsa de mano"
"PT: Towel","Toalla"
"PT: Toy","Juguete"
"PT: Track Jacket","Chaqueta deportiva"
"PT: Tracksuit","Chandal"
"PT: Travel Bag","Bolsa de viaje"
"PT: Travel Mug","Taza de viaje"
"PT: Trinket Box","Caja de Maquillaje"
"PT: Trinket Dish","Plato de juja"
"PT: Truck","Ejes"
"PT: Umbrella","Paraguas"
"PT: Underwear","Ropa interior"
"PT: V Neck Girly","Cuello pico de chica"
"PT: V Neck Longsleeve","Manga larga con cuello pico"
"PT: V Neck Pullover","Jersey de punto con cuello pico"
"PT: V Neck Sweater","Suéter de cuello pico"
"PT: V Neck T-Shirt","Camiseta de cuello pico"
"PT: Vase","Vaso"
"PT: Vest","Chaleco"
"PT: Vinyl","Vinilo"
"PT: Voucher","Cupón"
"PT: Wall Shelf","Estante"
"PT: Wallet","Cartera"
"PT: Washbag","Bolsa para la colada"
"PT: Washing Glove","Toalla de mano"
"PT: Watch","Reloj"
"PT: Wheels","Ruedas"
"PT: Wind Chime","Carillón de viento"
"PT: Windbreaker","Chubasquero"
"PT: Wrapping Paper","Papel de regalo"
"PT: Wristband","Pulsera/Muñequera"
"PT: Writing Set","Set de escritura"
"PT: Zip Holder","Sujetador de cremalleras"
"PT: Zipper","Chaqueta con cremallera"
"PT: iPhone 4 Case","Funda para iPhone 4"
"PT: iPhone 4/4S Case","Funda para iPhone 4/4S"
"PT: iPhone 5 Case","Funda para iPhone 5"
"PT: iPod Classic Skin","Funda  para iPod Classic"
