"Product-Title: iPhone 4/4S Case","Coque iPhone 4/4S"
"Product-Title: iPhone 4 Case","Coque iPhone 4"
"Product-Title: iPhone 5 Case","Coque iPhone 5"
"Product-Title: iPod Classic Skin","Coque iPod Classic"
"Product-Title: Laptop Case","Housse ordinateur"
"Product-Title: Ring","Bague"
"Product-Title: Earrings","Boucles d'oreilles"
"Product-Title: Necklace","Collier"
"Product-Title: Flesh Tunnel","Ecarteur"
"Product-Title: Earplug","Plug"
"Product-Title: Expander","Ecarteur"
"Product-Title: Bag","Sac"
"Product-Title: Wallet","Portefeuilles"
"Product-Title: Backpack","Sac à dos"
"Product-Title: Belt","Ceinture"
"Product-Title: Girl Belt","Ceinture femme"
"Product-Title: Belt Pack","Belt Pack"
"Product-Title: Headphones","Casques Audio"
"Product-Title: Watch","Montre"
"Product-Title: Sunglasses","Lunettes De Soleil"
"Product-Title: Bracelet","Bracelet"
"Product-Title: Wristband","Bracelet éponge"
"Product-Title: Gloves","Gants"
"Product-Title: Scarf","Écharpe"
"Product-Title: Towel","Serviette"
"Product-Title: Socks","Chaussettes"
"Product-Title: Poster","Poster"
"Product-Title: Sticker","Sticker"
"Product-Title: Patch","Patch"
"Product-Title: Calendar","Calendrier"
"Product-Title: Keychain","Porte Clefs"
"Product-Title: Belt Buckle","Boucle de ceinture"
"Product-Title: Foam Hand","Foam Hand"
"Product-Title: Skate Deck","Planche de skate"
"Product-Title: Toy","Jouet"
"Product-Title: Gift Pack","Pack cadeau"
"Product-Title: Washing Glove","Gant de toilette"
"Product-Title: Pencil Case","Trousse"
"Product-Title: Pillow","Coussin"
"Product-Title: Zip Holder","Fermeture eclair"
"Product-Title: Cargo Pants","Pantalons Cargo"
"Product-Title: Chino","Chino"
"Product-Title: Hotpants","Boxers"
"Product-Title: Jeans","Jeans"
"Product-Title: Girl Jeans","Jeans pour fille"
"Product-Title: Leggings","Leggings"
"Product-Title: Girl Leggings","Girl Leggings"
"Product-Title: Mesh Shorts","Mesh Shorts"
"Product-Title: Panties","Culottes"
"Product-Title: Pants","Pantalons"
"Product-Title: Girl Pants","Pantalons pour fille"
"Product-Title: Shorts","Shorts"
"Product-Title: Girl Shorts","Shorts pour fille"
"Product-Title: Skirt","Robe"
"Product-Title: Sweat Pants","Pantalons de jogging"
"Product-Title: Underwear","Sous-Vêtements"
"Product-Title: Ballerinas","Ballerines"
"Product-Title: Heels","Talons Aiguilles"
"Product-Title: Sandal","Sandales"
"Product-Title: Girl Sandals","Sandales pour fille"
"Product-Title: Peeptoes","Peeptoes"
"Product-Title: Shoes","Chaussures"
"Product-Title: Girl Shoes","Chaussures pour fille"
"Product-Title: Backpack","Sac a dos"
"Product-Title: Bag","Sac"
"Product-Title: Hipbag","Sac banane"
"Product-Title: Laptop Bag","Sacoche pour ordinateur portable"
"Product-Title: Tote Bag","Sac en toile"
"Product-Title: Bikini Bottom","Culotte de bikini"
"Product-Title: Bikini","Bikini"
"Product-Title: Board Shorts","Shorts de bain"
"Product-Title: Swimsuit","Maillot de bain"
"Product-Title: Top","Haut"
"Product-Title: Blue Ray","Blu-ray"
"Product-Title: Book","Livre"
"Product-Title: CD","CD"
"Product-Title: CD/DVD","CD/DVD"
"Product-Title: DVD","DVD"
"Product-Title: Magazine","Magazine"
"Product-Title: Vinyl","Vinyl"
"Product-Title: Beanie","Bonnet"
"Product-Title: Girl Beanie","Bonnet pour fille"
"Product-Title: Long Beanie","Long Beanie"
"Product-Title: Cap","Casquette"
"Product-Title: Earmuff","Casque"
"Product-Title: T-Shirt","T-Shirt"
"Product-Title: V Neck T-Shirt","Tshirt Col V"
"Product-Title: Girly","Girly"
"Product-Title: V Neck Girly","Col V pour fille"
"Product-Title: Tank","Débardeur"
"Product-Title: Girl Tank","Débardeur pour fille"
"Product-Title: Top","Haut"
"Product-Title: Girl Polo","Girl Polo"
"Product-Title: Polo","Polo"
"Product-Title: Jersey","Jersey"
"Product-Title: Longsleeve","Tshirt manches longues"
"Product-Title: Girl Longsleeve","Tshirt manches longues pour filles"
"Product-Title: V Neck Longsleeve","Tshirt manches longues col V"
"Product-Title: Girl V Neck Longsleeve","Tshirt manches longues col V femme"
"Product-Title: Zipper","Sweat Zippé"
"Product-Title: Girl Zipper","Sweat Zippé à Capuche Femme"
"Product-Title: Hoodie","Hoodie"
"Product-Title: Girl Hoodie","Sweat a capuche femme"
"Product-Title: Sweater","Pull"
"Product-Title: Girl Sweater","Pull fille"
"Product-Title: V Neck Sweater","Pull col V"
"Product-Title: Girl V Neck Sweater","Pull col V pour fille"
"Product-Title: Pullover","Pull-over"
"Product-Title: Girl Pullover","Pullover fille"
"Product-Title: V Neck Pullover","Pullover col V"
"Product-Title: Girl V Neck Pullover","Pullover Col V pour fille"
"Product-Title: Cardigan","Cardigan"
"Product-Title: Hooded Cardigan","Cardigan a capuche"
"Product-Title: Shirt","Chemise"
"Product-Title: Girl Shirt","Chemise fille"
"Product-Title: Hooded Shirt","Chemise a capuche"
"Product-Title: Hooded Girl Shirt","Chemise a capuche Fille"
"Product-Title: Jacket","Veste"
"Product-Title: Girl Jacket","Veste fille"
"Product-Title: Dress","Robe"
"Product-Title: Coat","Manteau"
"Product-Title: Vest","Gilet"
"Product-Title: Girl Jacket","Veste fille"
"Product-Title: Jeans Jacket","Veste en Jean"
"Product-Title: Girl Jeans Jacket","Veste en jean fille"
"Product-Title: Leather Jacket","Veste en Cuir"
"Product-Title: Girl Leather Jacket","Veste en cuire fille"
"Product-Title: Track Jacket","Veste de jogging"
"Product-Title: Girl Track Jacket","Veste de jogging fille"
"Product-Title: College Jacket","Teddy"
"Product-Title: Girl College Jacket","Teddy pour filles"
"Product-Title: Hooded College Jacket","Teddy à capuche"
"Product-Title: Girl Hooded College Jacket","Teddy à capuche pour filles"
"Product-Title: Windbreaker","Coupe vent"
"Product-Title: Voucher","Bon d'achat"
"Product-Title: Mug","Mug"
"Product-Title: Cup","Tasse"
"Product-Title: Flag","Drapeau"
"Product-Title: Backpatch","Patch dorsal"
"Product-Title: Travel Bag","Sac de voyage"
"Product-Title: Tracksuit","Jogging"
"Product-Title: Boxershorts","Boxers"
"Product-Title: Plectrum","Mediator"
"Product-Title: Plectra","Mediators"
"Product-Title: Plectrum Set","Pack de mediators"
"Product-Title: Piercing","Piercing"
"Product-Title: Slipmat","Slipmat"
"Product-Title: Button","Badge"
"Product-Title: Bottle Opener","Décapsuleur"
"Product-Title: Bottle","Bouteille"
"Product-Title: Coaster","Sous-verre"
"Product-Title: Egg Cup","Coquetier"
"Product-Title: Flask","Flasque"
"Product-Title: Glass","Verre"
