"Product-Title: iPhone 4/4S Case","Cover iPhone 4/4S"
"Product-Title: iPhone 4 Case","Cover iPhone 4"
"Product-Title: iPhone 5 Case","Cover iPhone 5"
"Product-Title: iPod Classic Skin","iPod Classic Custodia"
"Product-Title: Laptop Case","Custodia Laptop"
"Product-Title: Ring","Anello"
"Product-Title: Earrings","Orecchini"
"Product-Title: Necklace","Collana"
"Product-Title: Flesh Tunnel","Flesh Tunnel"
"Product-Title: Earplug","Dilatatori lobo"
"Product-Title: Expander","Expander"
"Product-Title: Bag","Borsa"
"Product-Title: Wallet","Portafoglio"
"Product-Title: Backpack","Zaino"
"Product-Title: Belt","Cintura"
"Product-Title: Girl Belt","Cintura da donna"
"Product-Title: Belt Pack","Marsupio"
"Product-Title: Headphones","Cuffie"
"Product-Title: Watch","Orologio"
"Product-Title: Sunglasses","Occhiali da sole"
"Product-Title: Bracelet","Braccialetto"
"Product-Title: Wristband","Polsino"
"Product-Title: Gloves","Guanti"
"Product-Title: Scarf","Sciarpa"
"Product-Title: Towel","Asciugamano"
"Product-Title: Socks","Calzini"
"Product-Title: Poster","Poster"
"Product-Title: Sticker","Adesivo"
"Product-Title: Patch","Toppa"
"Product-Title: Calendar","Calendario"
"Product-Title: Keychain","Portachiavi"
"Product-Title: Belt Buckle","Fibbia da cintura"
"Product-Title: Foam Hand","Mano di gommapiuma"
"Product-Title: Skate Deck","Tavola da skate"
"Product-Title: Toy","Giocattolo"
"Product-Title: Gift Pack","Pacchetto regalo"
"Product-Title: Washing Glove","Guanto da doccia"
"Product-Title: Pencil Case","Astuccio"
"Product-Title: Pillow","Cuscino"
"Product-Title: Zip Holder","Zip Holder"
"Product-Title: Cargo Pants","Pantaloni cargo"
"Product-Title: Chino","Chino"
"Product-Title: Hotpants","Hotpants"
"Product-Title: Jeans","Jeans"
"Product-Title: Girl Jeans","Jeans da donna"
"Product-Title: Leggings","Leggings"
"Product-Title: Girl Leggings","Leggings da donna"
"Product-Title: Mesh Shorts","Pantaloncini in rete mesh"
"Product-Title: Panties","Mutande"
"Product-Title: Pants","Pantaloni"
"Product-Title: Girl Pants","Pantaloni da donna"
"Product-Title: Shorts","Pantaloncini"
"Product-Title: Girl Shorts","Shorts"
"Product-Title: Skirt","Gonna"
"Product-Title: Sweat Pants","Pantaloni della tuta"
"Product-Title: Underwear","Intimo"
"Product-Title: Ballerinas","Ballerine"
"Product-Title: Heels","Tacchi"
"Product-Title: Sandal","Sandali"
"Product-Title: Girl Sandals","Sandali da donna"
"Product-Title: Peeptoes","Scarpe spuntate"
"Product-Title: Shoes","Scarpe"
"Product-Title: Girl Shoes","Scarpe da donna"
"Product-Title: Backpack","Zaino"
"Product-Title: Bag","Borsa"
"Product-Title: Hipbag","Marsupio"
"Product-Title: Laptop Bag","Borsa laptop"
"Product-Title: Tote Bag","Borsa in tessuto"
"Product-Title: Bikini Bottom","Slip"
"Product-Title: Bikini","Bikini"
"Product-Title: Board Shorts","Board Shorts"
"Product-Title: Swimsuit","Costume"
"Product-Title: Top","Top"
"Product-Title: Blue Ray","Blue Ray"
"Product-Title: Book","Libro"
"Product-Title: CD","CD"
"Product-Title: CD/DVD","CD/DVD"
"Product-Title: DVD","DVD"
"Product-Title: Magazine","Magazine"
"Product-Title: Vinyl","Vinile"
"Product-Title: Beanie","Berretto"
"Product-Title: Girl Beanie","Berretto da donna"
"Product-Title: Long Beanie","Berretto lungo"
"Product-Title: Cap","Cappello"
"Product-Title: Earmuff","Paraorecchi"
"Product-Title: T-Shirt","T-Shirt"
"Product-Title: V Neck T-Shirt","T-Shirt con scollo a V"
"Product-Title: Girly","Girly"
"Product-Title: V Neck Girly","Girly con scollo a V"
"Product-Title: Tank","Canotta"
"Product-Title: Girl Tank","Canotta da donna"
"Product-Title: Top","Top"
"Product-Title: Girl Polo","Polo da donna"
"Product-Title: Polo","Polo"
"Product-Title: Jersey","Jersey"
"Product-Title: Longsleeve","T-Shirt a maniche lunghe"
"Product-Title: Girl Longsleeve","T-Shirt a maniche lunghe da donna"
"Product-Title: V Neck Longsleeve","T-Shirt a maniche lunghe con scollo a v"
"Product-Title: Girl V Neck Longsleeve","T-Shirt a maniche lunghe da donna con scollo a v"
"Product-Title: Zipper","Felpa con zip"
"Product-Title: Girl Zipper","Felpa con zip da donna"
"Product-Title: Hoodie","Felpa con cappuccio"
"Product-Title: Girl Hoodie","Felpa con cappuccio da donna"
"Product-Title: Sweater","Felpa"
