"Product-Title: iPhone 4/4S Case","Obudowa na iPhone 4/4S"
"Product-Title: iPhone 4 Case","Obudowa na iPhone 4"
"Product-Title: iPhone 5 Case","Obudowa na iPhone 5"
"Product-Title: iPod Classic Skin","Obudowa na iPod Classic"
"Product-Title: Laptop Case","Etui na laptop"
"Product-Title: Ring","Pierścionek"
"Product-Title: Earrings","Kolczyki"
"Product-Title: Necklace","Naszyjnik"
"Product-Title: Flesh Tunnel","Tunel"
"Product-Title: Earplug","Earplug"
"Product-Title: Expander","Expander"
"Product-Title: Bag","Torba"
"Product-Title: Wallet","Portfel"
"Product-Title: Backpack","Plecak"
"Product-Title: Belt","Pasek"
"Product-Title: Girl Belt","Damski pasek"
"Product-Title: Belt Pack","Zestaw pasków"
"Product-Title: Headphones","Słuchawki"
"Product-Title: Watch","Zegarek"
"Product-Title: Sunglasses","Okulary przeciwsłoneczne"
"Product-Title: Bracelet","Bransoletka"
"Product-Title: Wristband","Opaska na nadgarstek"
"Product-Title: Gloves","Rękawiczki"
"Product-Title: Scarf","Szalik"
"Product-Title: Towel","Ręcznik"
"Product-Title: Socks","Skarpetki"
"Product-Title: Poster","Plakat"
"Product-Title: Sticker","Naklejka"
"Product-Title: Patch","Naszywka"
"Product-Title: Calendar","Kalendarz"
"Product-Title: Keychain","Brelok"
"Product-Title: Belt Buckle","Klamra do paska"
"Product-Title: Foam Hand","Piankowa ręka"
"Product-Title: Skate Deck","Skateboard deck"
"Product-Title: Toy","Zabawka"
"Product-Title: Gift Pack","Zestaw prezentowy"
"Product-Title: Washing Glove","Rękawice do mycia"
"Product-Title: Pencil Case","Piórnik"
"Product-Title: Pillow","Poduszka"
"Product-Title: Zip Holder","Zip holder"
"Product-Title: Cargo Pants","Bojówki"
"Product-Title: Chino","Chinos"
"Product-Title: Hotpants","Panty"
"Product-Title: Jeans","Jeansy"
"Product-Title: Girl Jeans","Damskie jeansy"
"Product-Title: Leggings","Leggingsy"
"Product-Title: Girl Leggings","Damskie legginsy"
"Product-Title: Mesh Shorts","Mesh shorts"
"Product-Title: Panties","Majtki"
"Product-Title: Pants","Spodnie"
"Product-Title: Girl Pants","Damskie spodnie"
"Product-Title: Shorts","Szoty"
"Product-Title: Girl Shorts","Damskie szorty"
"Product-Title: Skirt","Spódnica"
"Product-Title: Sweat Pants","Spodnie dresowe"
"Product-Title: Underwear","Bielizna"
"Product-Title: Ballerinas","Baleriny"
"Product-Title: Heels","Obcasy"
"Product-Title: Sandal","Sandały"
"Product-Title: Girl Sandals","Damskie sandały"
"Product-Title: Peeptoes","Peeptoes"
"Product-Title: Shoes","Buty"
"Product-Title: Girl Shoes","Damskie buty"
"Product-Title: Backpack","Plecak"
"Product-Title: Bag","Torba"
"Product-Title: Hipbag","Torba na biodra"
"Product-Title: Laptop Bag","Torba na laptop"
"Product-Title: Tote Bag","Torba materiałowa"
"Product-Title: Bikini Bottom","Dół bikini"
"Product-Title: Bikini","Bikini"
"Product-Title: Board Shorts","Spodenki plażowe"
"Product-Title: Swimsuit","Strój kąpielowy"
"Product-Title: Top","Top"
"Product-Title: Blue Ray","Blu Ray"
"Product-Title: Book","Książka"
"Product-Title: CD","CD"
"Product-Title: CD/DVD","CD/DVD"
"Product-Title: DVD","DVD"
"Product-Title: Magazine","Czasopismo"
"Product-Title: Vinyl","Winyl"
"Product-Title: Beanie","Beanie"
"Product-Title: Girl Beanie","Damskie beanie"
"Product-Title: Long Beanie","Długie beanie"
"Product-Title: Cap","Czapka"
"Product-Title: Earmuff","Nauszniki"
"Product-Title: T-Shirt","T-shirt"
"Product-Title: V Neck T-Shirt","V-neck T-shirt"
"Product-Title: Girly","Damski T-shirt"
"Product-Title: V Neck Girly","Damski V-neck"
"Product-Title: Tank","Tanktop"
"Product-Title: Girl Tank","Damski tanktop"
"Product-Title: Top","Top"
"Product-Title: Girl Polo","Damskie polo"
"Product-Title: Polo","Polo"
"Product-Title: Jersey","Jersey"
"Product-Title: Longsleeve","Longsleeve"
"Product-Title: Girl Longsleeve","Damski longsleeve"
"Product-Title: V Neck Longsleeve","V-neck longsleeve"
"Product-Title: Girl V Neck Longsleeve","Damski V-neck longsleeve"
"Product-Title: Zipper","Bluza na zamek błyskawiczny"
